MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,CSX 4DR SEDAN FWD /TECH PACKAGE,6,454,175,144,270,1300,94,45,36,76,110,92,93,150,151,61/39
ACURA,MDX 4DR SUV AWD /TECH/ELITE,10,485,199,173,275,2064,117,183,42,85,126,100,110,172,172,56/44
ACURA,RDX 4DR SUV AWD /TECH PACKAGE,10,462,187,166,265,1790,125,152,38,84,124,98,99,158,159,57/43
ACURA,RL 4DR SEDAN AWD /ELITE,9,497,185,146,280,1864,125,73,37,80,116,104,111,157,157,58/42
ACURA,TL 4 DR SEDAN FWD/TECHNOLOGY,9,497,188,145,278,1682,134,62,34,81,117,105,115,160,161,61/39
ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECHNOLOGY,9,497,188,145,278,1801,134,62,34,81,117,105,115,160,161,59/41
ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,9,473,184,144,271,1545,121,44,35,79,115,97,104,158,158,60/40
ACURA,TSX 4DR SEDAN FWD V6,9,473,184,144,271,1672,121,44,35,79,115,97,104,158,158,60/40
ACURA,ZDX 4DR SUV AWD / TECH ELITE,10,488,199,160,275,2064,133,109,33,88,120,109,104,172,171,58/42
ASTON MARTIN,DB9 2DR COUPE RWD,4,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,156,50/50
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,5,470,188,127,274,1856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,DBS 2DR COUPE RWD,8,472,191,128,274,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,DBS VOLANTE 2DR CONV RWD,8,472,191,128,274,1810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11,502,193,136,299,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,7,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VIRAGE 2DR COUPE RWD,11,470,190,128,274,1785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,158,50/50
ASTON MARTIN,VIRAGE VOLANTE 2DR CONV RWD,11,470,190,129,274,1890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,158,50/50
AUDI,A3 4DR HATCH 2.0 T FWD/2.0 TDI,5,429,174,142,258,1390,104,137,34,77,100,88,83,152,148,60/40
AUDI,A3 4DR HATCH 2.0T QUATTRO,5,429,174,142,258,1570,104,137,34,77,100,88,83,152,148,60/40
AUDI,A4 4DR SEDAN 2.0T FWD,9,470,183,143,281,1480,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 4DR SEDAN 2.0T QUATTRO,9,470,183,143,281,1530,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 AVANT 2.0 TFSI 4DR AWD WAGON,9,470,183,143,281,1620,123,158,35,79,110,87,103,153,153,55/45
AUDI,A5 2DR CABRIOLET 2.0T AWD,10,464,185,137,275,1565,124,48,33,77,111,88,101,157,157,52/48
AUDI,A5 2DR COUPE 2.0T AWD,8,464,185,137,275,1525,124,48,33,77,111,88,101,157,157,52/48
AUDI,A6 3.0 TFSI 4DR SEDAN AWD,5,492,186,146,284,1870,132,54,36,80,105,100,110,158,158,61/39
AUDI,A6 4.2 4DR SEDAN AWD,5,492,186,146,284,1915,132,54,36,80,105,100,110,158,158,61/39
AUDI,A6 4DR AVANT AWD WAGON 3.0,6,493,186,146,284,1870,130,164,37,79,107,100,110,156,158,56/44
AUDI,A8 4DR SEDAN,10,512,195,146,299,1910,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8 L 4DR SEDAN,10,526,195,146,312,1960,146,67,32,82,114,100,114,163,163,56/44
AUDI,Q5 5DR SUV AWD 3.2/3.2 PREMIUM,9,463,190,166,281,1895,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q7 4DR SUV AWD 3.0,7,509,198,174,300,2355,124,186,39,88,106,97,112,163,165,50/50
AUDI,Q7 4DR SUV AWD 3.0 DIESEL PREMIUM,7,509,198,174,300,2525,124,186,39,88,106,97,112,163,165,50/50
AUDI,Q7 4DR SUV AWD 3.0 SPORT,7,509,198,174,300,2455,124,186,39,88,106,97,112,163,165,50/50
AUDI,R8 2DR 4.2 COUPE AWD,8,443,190,125,265,1560,101,56,30,72,107,100,78,163,159,44/56
AUDI,R8 2DR 5.2 COUPE AWD,8,443,190,125,265,1620,101,56,30,72,107,100,78,163,159,44/56
AUDI,R8 2DR CONV,10,443,190,125,265,1795,109,159,N/A,73,115,99,79,164,160,44/56
AUDI,S4 4DR SEDAN AWD,9,470,183,143,281,1530,124,50,36,79,106,88,103,155,154,55/45
AUDI,S5 2DR CABRIOLET AWD,10,464,185,137,275,1695,124,49,33,77,111,89,102,157,155,51/49
AUDI,S5 2DR COUPE AWD,8,464,185,137,275,1875,124,49,33,77,111,89,102,157,155,51/49
AUDI,S6 4DR SEDAN AWD,7,492,186,145,284,2035,128,53,36,79,107,101,108,158,157,58/42
AUDI,TT 2DR COUPE 2.0 TFSI QUATTRO/S-LINE,7,419,184,134,247,1345,122,45,28,80,113,90,82,156,155,61/39
AUDI,TT ROADSTER 2DR CONVERTIBLE 2.0 TFSI QUATTRO/,7,419,184,134,247,1420,122,N/A,28,80,N/A,90,82,156,155,61/39
AUDI,TTS 2DR COUPE,7,420,184,135,246,1460,108,40,27,78,111,91,82,156,153,61/39
AUDI,TTS ROADSTER 2DR CONVERTIBLE,7,420,184,135,246,1495,108,N/A,27,78,N/A,91,82,156,153,61/39
BENTLEY,AZURE T 2DR CONVERTIBLE RWD,7,541,213,149,312,2695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,BROOKLANDS 2 DR COUPE RWD,8,541,208,147,312,2655,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,CONTINENTAL FLYING SPUR 4DR SEDAN AWD,6,529,198,140,275,2525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,161,N/A
BENTLEY,CONTINENTAL GT 2DR COUPE AWD,11,481,194,140,'27,2320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52/48
BENTLEY,CONTINENTAL GTC/SPEED 2DR CONV AWD,7,480,193,140,275,2565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,161,N/A
BENTLEY,CONTINENTAL SUPERSPORTS 2DR CONV AWD,4,481,195,139,275,2395,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52/48
BENTLEY,CONTINENTAL SUPERSPORTS 2DR COUPE AWD,4,481,195,139,275,2240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52/48
BENTLEY,MULSANNE 4DR SEDAN RWD,11,558,193,152,327,2585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,165,52/48
BMW,1 SERIES 128i 2DR COUPE RWD,8,437,175,141,266,1478,124,50,35,80,107,77,96,146,148,52/48
BMW,1 SERIES 135i 2DR COUPE RWD,8,437,175,141,266,1533,124,50,35,80,107,77,96,146,148,52/48
BMW,1 SERIES CABRIOLET 128i 2DR CONV RWD,8,437,175,141,266,1585,122,61,35,80,N/A,76,95,147,149,52/48
BMW,1 SERIES CABRIOLET 135i 2DR CONV RWD,8,437,175,141,266,1660,122,61,35,80,N/A,76,95,147,149,52/48
BMW,3 SERIES 323i/328i 4DR SEDAN RWD,6,453,182,142,276,1525,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES 328i XDRIVE 4DR SEDAN AWD,6,453,182,142,276,1635,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES 335D 4DR SEDAN RWD,6,453,182,142,276,1735,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES 335i 4DR SEDAN RWD,6,453,182,142,276,1630,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES 335i XDRIVE 4DR SEDAN AWD,6,453,182,142,276,1730,125,47,37,78,102,77,100,150,151,50/50
BMW,3 SERIES CABRIOLET 328i RWD,9,459,178,138,276,1720,126,64,34,79,107,78,105,150,150,47/53
BMW,3 SERIES CABRIOLET 335i/335is RWD,9,459,178,138,276,1815,126,64,34,79,107,78,105,150,150,47/53
BMW,3 SERIES COUPE 328i RWD,7,459,178,138,276,1520,127,50,35,78,105,77,105,150,149,50/50
BMW,3 SERIES COUPE 328i XDRIVE AWD,7,459,178,138,276,1625,127,50,35,78,105,77,105,150,149,50/50
BMW,3 SERIES COUPE 335i XDRIVE AWD,7,459,178,138,276,1705,126,67,34,78,121,78,106,149,150,50/50
BMW,3 SERIES COUPE 335i/335is RWD,7,459,178,138,276,1620,126,67,34,78,121,78,106,149,150,50/50
BMW,3 SERIES TOURING 328i XDRIVE 4DR WAGON AWD,6,453,182,142,276,1710,125,156,37,78,100,77,100,150,151,50/50
BMW,5 SERIES 528i 4 DR SEDAN RWD,11,490,186,146,297,1720,148,55,38,81,111,83,110,160,163,51/49
BMW,5 SERIES 535i 4 DR SEDAN RWD,11,490,186,146,297,1845,148,55,38,81,111,83,110,160,163,51/49
BMW,5 SERIES 535i xDrive 4 DR SEDAN AWD,11,490,186,146,297,1920,148,55,38,81,111,83,110,160,163,51/49
BMW,5 SERIES 535xDrive Gran Turismo 4DR SEDAN AWD,10,500,190,156,307,2295,141,150,38,84,123,84,109,161,165,49/51
BMW,5 SERIES 550i 4 DR SEDAN RWD,11,490,186,146,297,1980,148,55,38,81,111,83,110,160,163,51/49
