MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,ILX 4DR SEDAN/HYBRID,12,454,180,141,267,1356,121,51,30,79,114,96,91,150,152,60/40
ACURA,MDX 4DR SUV AWD/TECH/ELITE,10,485,199,173,275,2076,117,183,42,85,126,100,110,172,172,56/44
ACURA,RDX 4DR SUV AWD/TECH PACKAGE,12,466,187,N/A,268,1756,129,158,36,86,123,99,99,160,161,59/41
ACURA,TL 4 DR SEDAN FWD/TECH,12,493,188,145,278,1695,140,65,32,81,115,102,113,161,162,61/39
ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECH/SH-AWD ELITE,12,493,188,145,278,1807,140,65,32,81,115,102,113,161,162,59/41
ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,09,473,184,144,271,1545,121,44,35,79,115,97,104,158,158,60/40
ACURA,TSX 4DR SEDAN FWD V6 TECH,09,473,184,144,271,1672,121,44,35,79,115,97,104,158,158,60/40
ACURA,ZDX 4DR SUV AWD/TECH ELITE,10,488,199,160,275,2013,133,109,33,88,120,109,104,172,171,58/42
ASTON MARTIN,DB9 2DR COUPE RWD,04,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,156,50/50
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,05,470,188,127,274,1856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11,502,193,136,299,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANQUIS 2DR COUPE RWD,08,472,191,128,274,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,06,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,07,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
AUDI,A3 4DR HATCH 2.0 TFSI FWD PROGRESSIV/2.0 TDI,05,429,174,142,258,1460,104,137,34,77,100,88,83,152,148,60/40
AUDI,A3 4DR HATCH 2.0 TFSI QUATTRO PROGRESSIV,05,429,174,142,258,1570,104,137,34,77,100,88,83,152,148,60/40
AUDI,A4 4DR SEDAN 2.0 TFSI FWD,09,470,183,143,281,1590,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 4DR SEDAN 2.0 TFSI QUATTRO/PREMIUM/PREMIUM,09,470,183,143,281,1640,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 ALLROAD 2.0 TFSI QUATTRO/PREMIUM/PREMIUM P,13,472,184,147,281,1765,136,152,33,80,108,88,103,158,157,53/47
AUDI,A5 2DR CABRIOLET 2.0 TFSI QUATTRO PREMIUM/PRE,10,464,185,137,275,1829,124,48,33,77,111,88,101,157,157,52/48
AUDI,A5 2DR COUPE 2.0 TFSI QUATTRO PREMIUM/PREMIUM,08,464,185,137,275,1625,124,48,33,77,111,88,101,157,157,52/48
AUDI,A6 4DR SEDAN 2.0 TFSI QUATTRO PREMIUM/PREMIUM,11,492,187,146,291,1765,140,58,37,80,111,92,109,163,162,55/45
AUDI,A6 4DR SEDAN 3.0 TFSI QUATTRO PREMIUM/PREMIUM,11,492,187,146,291,1835,140,58,37,80,111,92,109,163,162,55/45
AUDI,A7 4DR HATCHBACK 3.0 TFSI QUATTRO PREMIUM/PRE,11,497,191,142,291,1910,140,230,34,78,112,93,112,164,164,54/46
