MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,ILX 4DR SEDAN,16,462,180,141,267,1415,125,54,30,79,114,100,94,151,152,60/40
ACURA,MDX 4DR SUV AWD,17,498,196,171,282,1970,124,186,40,89,120,104,111,169,168,58/42
ACURA,NSX,15,447,194,122,263,1725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,166,162,42/58
ACURA,RDX 4DR SUV AWD,16,466,187,169,268,1749,129,158,36,86,123,99,99,160,161,59/41
ACURA,RLX 4DR SEDAN AWD HYBRID,13,499,190,146,285,1980,133,56,37,80,113,100,114,163,163,57/43
ACURA,TLX 4DR SEDAN FWD,15,483,185,145,278,1579,138,50,35,81,112,100,107,160,160,60/40
ACURA,TLX 4DR SEDAN SH-AWD,15,483,185,145,278,1700,138,50,35,81,112,100,107,160,160,61/39
ALFA ROMEO,4C 2DR COUPE,14,399,187,118,238,1118,114,25,26,81,105,86,75,164,160,41/59
ALFA ROMEO,4C 2DR SPIDER,14,399,187,118,238,1128,114,N/A,26,81,105,86,75,164,160,41/59
ALFA ROMEO,GUILIA BASE/Ti RWD 4DR SEDAN,16,465,185,141,282,1429,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA QUADRIFOGLIO 4DR SEDAN,16,465,185,141,282,1603,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA Ti AWD 4DR SEDAN,16,465,185,141,282,1530,140,47,36,85,102,80,103,155,160,50/50
ASTON MARTIN,DB11,17,476,194,128,281,1854,163,43,28,78,111,95,100,166,166,49/51
ASTON MARTIN,RAPIDE S 4DR SEDAN RWD,11,502,193,136,299,1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANQUISH 2DR COUPE RWD,8,472,191,128,274,1739,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
ASTON MARTIN,VANQUISH 2DR VOLANTE RWD,8,472,191,129,274,1844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51/49
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,6,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,7,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
AUDI,A3 CABRIOLET,14,444,180,136,260,1625,120,64,31,81,126,87,97,154,151,60/40
AUDI,A3 SEDAN 2.0 TFSI,14,446,180,142,264,1525,120,47,34,78,108,87,95,156,153,60/40
AUDI,A3 SPORTBACK e-tron,15,431,179,143,264,1640,120,129,34,78,106,87,81,154,151,55/45
AUDI,A4 4DR SEDAN,16,473,181,140,282,1645,137,54,34,82,104,88,103,157,155,56/44
AUDI,A4 ALLROAD,17,475,184,149,282,1735,138,157,34,82,104,89,104,158,157,N/A
AUDI,A5 2DR COUPE 2.0 TFSI QUATTRO,8,464,185,137,275,1625,124,48,33,77,111,88,101,157,157,52/48
AUDI,A6 4DR SEDAN 2.0 TFSI QUATTRO,11,492,187,146,291,1795,140,58,37,80,111,92,109,163,162,55/45
AUDI,A6 4DR SEDAN 3.0 TFSI QUATTRO,11,492,187,146,291,1860,140,58,37,80,111,92,109,163,162,55/45
AUDI,A7 4DR SPORTBACK 3.0 TFSI QUATTRO/TDI QUATTRO,11,497,191,142,291,1910,140,230,34,78,112,93,112,164,164,54/46
AUDI,A8 4DR SEDAN 3.0 TFSI QUATTRO,10,513,195,146,299,1985,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8 4DR SEDAN 4.0 TFSI QUATTRO/3.0 TDI QUATTRO,10,513,195,146,299,2055,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB 4.2 TFSI QUATTRO/3.0 TDI QUATTRO,10,526,195,146,312,2080,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB W12 6.3 FSI QUATTRO,10,526,195,146,312,2180,146,67,32,82,114,100,114,163,163,56/44
AUDI,Q3 5DR SUV 2.0 TFSI FWD,15,439,183,161,260,1585,117,127,36,85,105,91,89,157,158,58/42
AUDI,Q3 5DR SUV 2.0 TFSI QUATTRO,15,439,183,161,260,1670,117,127,36,85,105,91,89,157,158,58/42
AUDI,Q5 5DR SUV 2.0 TFSI QUATTRO,9,463,190,166,281,1850,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q5 5DR SUV 3.0 TFSI QUATTRO,9,463,190,166,281,1975,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q7 4DR SUV 3.0 TFSI QUATTRO,15,505,197,174,299,2240,141,176,44,92,119,98,108,168,169,50/50
AUDI,R8 2DR COUPE,16,443,195,122,265,1655,108,56,28,73,104,99,78,163,160,N/A
AUDI,R8 2DR SPYDER,17,443,195,122,265,1698,108,N/A,28,73,104,99,78,163,160,N/A
AUDI,RS3 SEDAN TFSI QUATTRO,14,448,180,140,263,N/A,122,48,34,78,108,89,96,156,153,60/40
AUDI,RS7 4DR SPORTBACK 4.0 TFSI QUATTRO,14,501,191,142,291,2030,144,232,34,78,112,97,114,164,164,54/46
AUDI,S3 SEDAN TFSI QUATTRO,14,447,180,139,263,1565,120,49,34,78,108,87,97,155,153,60/40
AUDI,S5 2DR CABRIOLET 3.0 TFSI QUATTRO/PREMIUM,10,464,185,137,275,1955,124,49,33,77,111,89,102,157,155,51/49
AUDI,S5 2DR COUPE 3.0 TFSI QUATTRO/QUATTRO PREMIUM,8,464,185,137,275,1750,124,49,33,77,111,89,102,157,155,51/49
AUDI,S6 4DR SEDAN 4.0 TFSI QUATTRO,11,492,187,146,291,1995,140,58,37,80,111,92,109,163,162,55/45
AUDI,S7 4DR SPORTBACK 4.0 TFSI QUATTRO,11,497,191,142,291,2045,140,230,34,78,112,93,112,164,164,54/46
AUDI,S8 PLUS 4DR SEDAN 4.0 TFSI QUATTRO,10,512,195,146,299,2125,146,67,32,82,114,100,114,163,163,56/44
AUDI,SQ5 5DR SUV 3.0 TFSI QUATTRO,9,463,190,166,281,2000,126,156,40,86,116,91,93,160,160,53/47
AUDI,TT 2DR COUPE,16,418,183,135,251,1435,116,N/A,27,80,126,88,79,157,155,60/40
AUDI,TT ROADSTER 2DR CONVERTIBLE,16,418,183,135,251,1530,116,76,27,80,126,88,79,157,155,59/41
AUDI,TTS 2DR COUPE,16,419,183,134,251,1485,116,N/A,27,80,126,89,79,157,155,60/40
BENTLEY,BENTAYGA,16,514,200,174,299,2422,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57/43
BENTLEY,CONTINENTAL 2DR CONV AWD GTC/GTC V-8/GTC SPEED/GTC V-8S,12,481,194,140,275,2495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,161,N/A
BENTLEY,CONTINENTAL 2DR COUPE AWD GT/GT V-8/GT SPEED/GT V-8S,11,481,194,140,275,2320,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52/48
BENTLEY,CONTINENTAL FLYING SPUR 4DR SEDAN AWD,14,530,192,149,307,2475,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BENTLEY,MULSANNE 4DR SEDAN RWD,11,558,193,152,327,2711,N/A,N/A,N/A,N/A,N/A,N/A,N/A,162,165,52/48
BMW,2 SERIES 228i 2DR COUPE RWD,14,443,177,142,268,1460,134,53,34,81,104,78,96,152,156,53/47
BMW,2 SERIES 228i xDRIVE 2DR CABRIOLET,15,443,177,141,269,1712,134,64,34,81,121,78,96,152,153,53/47
BMW,2 SERIES 228i xDRIVE 2DR COUPE,14,443,177,142,268,1495,134,53,34,81,104,78,96,152,156,53/47
BMW,2 SERIES M235i 2DR CABRIOLET  RWD,15,443,177,141,269,1675,134,64,34,81,121,78,96,152,153,53/47
BMW,2 SERIES M235i 2DR COUPE RWD,14,443,177,142,268,1530,134,53,34,81,104,78,96,152,156,53/47
BMW,2 SERIES M235i xDRIVE 2DR CABRIOLET,15,443,177,141,269,1794,134,64,34,81,121,78,96,152,153,53/47
BMW,2 SERIES M235i xDRIVE 2DR COUPE AWD,14,443,177,142,268,1600,134,53,34,81,104,78,96,152,156,50/50
BMW,3 SERIES 320i xDRIVE 4DR SEDAN AWD,12,463,181,143,281,1565,137,52,37,77,109,78,104,154,158,50/50
BMW,3 SERIES 328d xDRIVE 4DR SEDAN AWD,12,463,181,143,281,1642,137,52,37,77,109,78,104,154,158,50/50
BMW,3 SERIES 328i xDRIVE 4DR SEDAN AWD,12,463,181,143,281,1630,137,52,37,77,109,78,104,154,158,50/50
BMW,3 SERIES 330e iPERFORMANCE SEDAN,12,463,181,143,281,1773,137,52,37,77,109,78,104,154,158,52/48
BMW,3 SERIES 330i xDRIVE Gran Turismo,14,483,183,151,292,1825,141,119,38,82,108,81,110,154,159,49/51
BMW,3 SERIES 340i 4DR SEDAN RWD,12,463,181,143,281,1608,137,52,37,77,109,78,104,154,158,52/48
BMW,3 SERIES 340i xDRIVE 4DR SEDAN AWD,12,463,181,143,281,1676,137,52,37,77,109,78,104,154,158,52/48
BMW,3 SERIES 340i xDRIVE Gran Turismo,14,483,183,151,292,1865,141,119,38,82,108,81,110,154,159,49/51
