MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,MDX 4DR SUV AWD /TECH/ELITE,10,485,199,173,275,2064,117,183,42,85,126,100,110,172,172,56/44
ACURA,RDX 4DR SUV AWD /TECH PACKAGE,10,462,187,166,265,1790,125,152,38,84,124,98,99,158,159,57/43
ACURA,RL 4DR SEDAN AWD /ELITE,09,497,185,146,280,1864,125,73,37,80,116,104,111,157,157,58/42
ACURA,TL 4 DR SEDAN FWD/TECH,12,493,188,145,278,1695,140,65,32,81,115,102,113,161,162,61/39
ACURA,TL 4 DR SEDAN SH-AWD/SH-AWD TECH/SH-AWD ELITE,12,493,188,145,278,1807,140,65,32,81,115,102,113,161,162,59/41
ACURA,TSX 4DR SEDAN FWD TECH PACKAGE/PREMIUM,09,473,184,144,271,1545,121,44,35,79,115,97,104,158,158,60/40
ACURA,TSX 4DR SEDAN FWD V6 TECH,09,473,184,144,271,1672,121,44,35,79,115,97,104,158,158,60/40
ACURA,ZDX 4DR SUV AWD / TECH ELITE,10,488,199,160,275,2064,133,109,33,88,120,109,104,172,171,58/42
ASTON MARTIN,DB9 2DR COUPE RWD,04,470,188,127,274,1760,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,156,50/50
ASTON MARTIN,DB9 VOLANTE 2DR CONV RWD,05,470,188,127,274,1856,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,DBS 2DR COUPE RWD,08,472,191,128,274,1695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,DBS VOLANTE 2DR CONV RWD,08,472,191,128,274,1810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11,502,193,136,299,1950,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ASTON MARTIN,VANTAGE 2DR COUPE RWD V8/V8 S/V12,06,438,187,126,260,1630,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VANTAGE ROADSTER 2DR CONV RWD V8/V8 S,07,438,187,126,260,1710,N/A,N/A,N/A,N/A,N/A,N/A,N/A,157,159,N/A
ASTON MARTIN,VIRAGE 2DR COUPE RWD,11,470,190,128,274,1785,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,158,50/50
ASTON MARTIN,VIRAGE VOLANTE 2DR CONV RWD,11,470,190,129,274,1890,N/A,N/A,N/A,N/A,N/A,N/A,N/A,159,158,50/50
AUDI,A3 4DR HATCH 2.0 TFSI FWD PROGRESSIV/2.0 TDI,05,429,174,142,258,1460,104,137,34,77,100,88,83,152,148,60/40
AUDI,A3 4DR HATCH 2.0 TFSI QUATTRO PROGRESSIV,05,429,174,142,258,1570,104,137,34,77,100,88,83,152,148,60/40
AUDI,A4 4DR SEDAN 2.0 TFSI FWD,09,470,183,143,281,1590,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 4DR SEDAN 2.0 TFSI QUATTRO/PREMIUM/PREMIUM,09,470,183,143,281,1640,124,50,36,79,106,88,103,155,154,55/45
AUDI,A4 AVANT 4DR WAGON 2.0 TFSI QUATTRO,09,470,183,143,281,1730,123,158,35,79,110,87,103,153,153,55/45
AUDI,A5 2DR CABRIOLET 2.0 TFSI QUATTRO PREMIUM/PRE,10,464,185,137,275,1829,124,48,33,77,111,88,101,157,157,52/48
AUDI,A5 2DR COUPE 2.0 TFSI QUATTRO PREMIUM/PREMIUM,08,464,185,137,275,1625,124,48,33,77,111,88,101,157,157,52/48
AUDI,A6 4DR SEDAN 3.0 TFSI QUATTRO PREMIUM/PREMIUM,11,492,187,146,291,1835,140,58,37,80,111,92,109,163,162,55/45
AUDI,A7 4DR HATCHBACK 3.0 TFSI QUATTRO PREMIUM/PRE,11,497,191,142,291,1910,140,230,34,78,112,93,112,164,164,54/46
AUDI,A8 4DR SEDAN 4.2 FSI QUATTRO/PREMIUM,10,512,195,146,299,2000,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB 4.2 FSI QUATTRO/PREMIUM,10,526,195,146,312,2019,146,67,32,82,114,100,114,163,163,56/44
AUDI,A8L 4DR SEDAN LWB W12 6.3 FSI QUATTRO,10,526,195,146,312,2165,146,67,32,82,114,100,114,163,163,56/44
AUDI,Q5 5DR SUV 2.0 TFSI QUATTRO PREMIUM/PREMIUM P,09,463,190,166,281,1855,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q5 5DR SUV 3.2 FSI QUATTRO/PREMIUM,09,463,190,166,281,1950,126,156,40,86,116,91,93,160,160,53/47
AUDI,Q7 4DR SUV 3.0 TFSI PREMIUM/PREMIUM PLUS,07,509,198,174,300,2355,124,186,39,88,106,97,112,163,165,50/50
