MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,ACURA INTEGRA,22,472,183,141,274,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,154,156,N/A
ACURA,MDX 4DR SUV AWD,22,504,200,170,289,2044,136,188,40,89,124,104,111,172,172,60/40
ACURA,MDX TYPE S 4DR SUV AWD,22,504,200,170,289,2148,136,188,40,89,124,104,111,172,172,58/42
ASTON MARTIN,VALKYRIE,22,483,195,N/A,306,1100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDI,A3 4DR SEDAN QUATTRO,22,450,182,143,264,1300,125,49,33,80,107,91,95,155,153,N/A
AUDI,E-TRON GT 4DR SEDAN,22,499,196,141,290,2350,146,61,32,83,114,102,107,169,166,N/A
AUDI,Q4 E-TRON 4DR SUV,22,459,187,161,276,2210,105,148,36,94,104,85,97,159,157,N/A
AUDI,Q4 E-TRON SPORTBACK 4DR SUV,22,459,187,161,276,2215,105,119,36,94,114,85,97,159,157,N/A
AUDI,S3 SEDAN TFSI QUATTRO,22,450,182,143,263,1580,125,49,33,80,107,91,96,155,153,N/A
BMW,2 SERIES M240i xDRIVE 2DR COUPE,22,454,184,139,274,1765,147,56,35,81,105,83,96,158,159,53/47
BMW,4 SERIES GRAN COUPE 430i xDRIVE 4DR SEDAN,22,478,185,144,286,1775,149,104,34,86,106,86,107,159,162,50/50
BMW,4 SERIES GRAN COUPE M440i xDRIVE 4DR SEDAN,22,478,185,144,286,1900,149,104,34,86,106,86,107,159,162,52/48
BMW,4 SERIES i4 GRAN COUPE 4DR SEDAN,22,478,185,145,286,2125,149,104,34,86,106,86,107,160,163,48/52
BMW,4 SERIES i4 M50 4DR SEDAN,22,478,185,145,286,2290,149,104,34,86,106,86,107,160,163,48/52
BMW,iX M60 SERIES,22,495,196,169,300,2659,129,172,42,93,108,91,105,168,171,47/53
BMW,iX SERIES,22,495,196,169,300,2440,129,172,42,93,108,91,105,168,171,49/51
CHEVROLET,BOLT EUV 4DR HATCHBACK,22,431,177,162,268,1669,103,143,38,93,N/A,89,74,151,151,N/A
CHEVROLET,BOLT EV 4DR HATCHBACK,22,415,177,161,260,1628,88,135,44,84,94,83,72,150,150,56/44
