MAKE,MODEL,MYR,OL,OW,OH ,WB,CW ,A,B,C,D,E,F,G,TWF,TWR ,WDIST
ACURA,ILX 4DR SEDAN,16,462,180,141,267,1415,125,54,30,79,114,100,94,151,152,60/40
ACURA,MDX 4DR SUV AWD,17,498,196,171,282,1940,124,186,40,89,120,104,111,169,168,58/42
ACURA,NSX,15,447,194,122,263,1725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,166,162,42/58
ACURA,RDX 4DR SUV,19,474,190,167,275,1830,130,171,41,93,115,98,102,163,164,57/43
ACURA,RLX 4DR SEDAN,18,502,190,146,285,1993,137,56,37,80,113,104,114,163,163,57/43
ACURA,TLX 4DR SEDAN FWD,18,484,185,145,278,1617,139,50,35,81,112,100,107,160,160,60/40
ACURA,TLX 4DR SEDAN SH-AWD,18,484,185,145,278,1732,139,50,35,81,112,100,107,160,160,61/39
ALFA ROMEO,4C 2DR SPIDER,14,399,187,118,238,1128,114,N/A,26,81,105,86,75,164,160,41/59
ALFA ROMEO,GUILIA BASE/Ti AWD 4DR SEDAN,16,465,185,141,282,1530,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA BASE/Ti RWD 4DR SEDAN,16,465,185,141,282,1429,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,GUILIA QUADRIFOGLIO 4DR SEDAN,16,465,185,141,282,1603,140,47,36,85,102,80,103,155,160,50/50
ALFA ROMEO,STELVIO BASE/Ti,18,469,190,165,282,1660,138,143,39,95,104,87,102,161,165,52/48
ALFA ROMEO,STELVIO QUADRIFOGLIO,18,469,190,165,282,1750,138,143,39,95,104,87,102,161,165,53/47
ASTON MARTIN,DB11,17,476,194,128,281,1854,163,43,28,78,111,95,100,166,166,49/51
ASTON MARTIN,DBS SUPPERLEGGERA,19,471,194,128,281,1845,159,42,28,78,111,91,99,166,164,51/49
ASTON MARTIN,DBX 4DR SUV,20,504,200,168,306,2245,147,159,38,96,N/A,93,104,N/A,N/A,54/46
ASTON MARTIN,NEW VANTAGE,18,447,194,127,270,1530,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/50
ASTON MARTIN,RAPIDE 4DR SEDAN RWD,11,502,193,136,299,1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AUDI,A3 4DR SEDAN QUATTRO,14,446,180,142,264,1525,120,47,34,78,108,87,95,156,153,60/40
AUDI,A3 CABRIOLET,14,444,180,136,260,1625,120,64,31,81,126,87,97,154,151,60/40
AUDI,A4 4DR SEDAN QUATTRO,20,476,185,143,282,1648,139,55,34,82,104,90,104,157,155,56/44
AUDI,A4 ALLROAD QUATTRO,20,476,185,150,282,1748,139,157,34,82,104,90,104,158,157,N/A
AUDI,A5 2DR CONVERTIBLE,17,467,185,137,276,1810,137,71,37,80,110,88,103,159,157,56/44
AUDI,A5 2DR COUPE,17,467,185,137,276,1635,137,54,37,80,110,88,103,159,157,56/44
AUDI,A5 SPORTBACK,17,474,184,138,283,1680,136,113,33,79,109,88,103,159,157,57/43
AUDI,A6 4DR SEDAN,19,494,189,146,292,1935,138,60,35,85,110,92,110,163,162,55/45
AUDI,A6 ALLROAD 4DR WAGON,20,495,190,147,293,2039,138,163,35,85,109,92,110,165,161,52/48
AUDI,A7 SPORTBACK 4DR SEDAN,18,497,191,142,293,1965,139,42,34,82,113,93,112,165,164,54/46
AUDI,A8L 4DR SEDAN,18,530,195,147,313,2030,144,65,36,84,112,99,119,164,163,N/A
AUDI,E-TRON 4DR SUV,19,490,194,163,293,2490,140,167,37,90,117,93,104,166,165,50/50
AUDI,E-TRON SPORTBACK 4DR SUV,20,490,194,162,293,2555,140,125,37,90,116,93,104,166,168,50/50
AUDI,Q3 4DR SUV,19,448,186,162,268,1535,119,134,36,74,111,90,91,158,158,53/47
